issue,title,auditBucket,suggestedOwnerArea,reviewScope,implementationState,matchCount,matchedFiles,searchTerms,suggestedNextStep,issueUrl
AV-EFI/AVefi-Issues#49,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich zwei oder mehrere Datensätze (Werk-Manifestation-Item) auf ihre Ähnlichkeit prüfen  (User Story ID 24),domain_logic_needed,Product/domain decision,false,blocked_external,0,,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; mehrere; datensatze; werk-manifestation-item; ahnlichkeit; prufen; zwei; ihre; b l o c k e d; filmidentifikatorenansicht redaktionssystem,Keep in owner-area review before frontend code verification.,https://github.com/AV-EFI/AVefi-Issues/issues/49
AV-EFI/AVefi-Issues#50,"Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich bei widersprüchlichen Metadaten zu einem Objekt entscheiden können, welche Metadaten übernommen werden sollen  (User Story ID 40)",domain_logic_needed,Product/domain decision,false,blocked_external,0,,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; widerspruchlichen; metadaten; objekt; entscheiden; ubernommen; werden; sollen; filmidentifikatorenansicht redaktionssystem,Keep in owner-area review before frontend code verification.,https://github.com/AV-EFI/AVefi-Issues/issues/50
AV-EFI/AVefi-Issues#221,"Filmrecherche: Als Benutzer*in möchte ich die Möglichkeit haben, Suchergebnisse oder kuratierte Listen von Filmen in verschiedene Formate (z. B. CSV, PDF, JSON) zu exportieren  (User Story ID 34)",implemented_candidate,Frontend/UI,true,implemented_but_untested,20,.\components\detail\FilmRelatedMaterialsComp.vue; .\components\detail\ManifestationListComp.vue; .\components\detail\PaginationComp.vue; .\components\detail\SameAsComp.vue; .\components\global\ActionContextComp.vue; .\components\global\CompareViewEditor.vue; .\components\global\CompareViewRaw.vue; .\components\global\ContactDrawer.vue; .\components\global\ExportDataComp.vue,moglichkeit; haben; suchergebnisse; kuratierte; listen; filmen; verschiedene; formate; json; exportieren,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/221
AV-EFI/AVefi-Issues#52,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich Daten übernehmen können  (User Story ID 7),domain_logic_needed,Product/domain decision,false,blocked_external,0,,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; ubernehmen; b l o c k e d; filmidentifikatorenansicht redaktionssystem,Keep in owner-area review before frontend code verification.,https://github.com/AV-EFI/AVefi-Issues/issues/52
AV-EFI/AVefi-Issues#220,Filmrecherche: Als Benutzer*in möchte ich das Suchergebnis mittels Filtern verfeinern  (User Story ID 3),implemented_candidate,Frontend/UI,true,implemented_but_untested,11,.\i18n\locales\de.ts; .\server\api\elastic\normdata\[field].get.ts,suchergebnis; mittels; filtern; verfeinern,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/220
AV-EFI/AVefi-Issues#216,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich zwei oder mehrere Datensätze (Werk-Manifestation-Item) auf ihre Ähnlichkeit prüfen  (User Story ID 24),implemented_candidate,Product/domain decision,true,implemented_but_untested,20,.\i18n\locales\de.ts; .\models\interfaces\schema\locale_messages.json; .\models\interfaces\schema\vocab.yaml; .\nuxt.config.ts; .\pages\index.vue,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; mehrere; datensatze; werk-manifestation-item; ahnlichkeit; prufen; zwei; ihre,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/216
AV-EFI/AVefi-Issues#7,"Hilfe, Feedback & Kommunikation: Als Benutzer*in möchte ich an Diskussionen über Film-Metadaten teilnehmen können, Rezensionen schreiben und anderen Benutzer*innen Feedback geben  (User Story ID 38)",implemented_candidate,Backend/API/indexing,true,implemented_but_untested,20,.\components\micro\ContactForm.vue; .\composables\poc\usePocApi.ts; .\i18n\locales\de.ts,hilfe; feedback; kommunikation; diskussionen; film-metadaten; teilnehmen; rezensionen; schreiben; uber; anderen; innen; geben; hilfe feedback kommunikation,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/7
AV-EFI/AVefi-Issues#215,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich ein editierbares Profil haben  (User Story ID 26),domain_logic_needed,Product/domain decision,false,blocked_external,0,,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; editierbares; profil; haben,Keep in owner-area review before frontend code verification.,https://github.com/AV-EFI/AVefi-Issues/issues/215
AV-EFI/AVefi-Issues#9,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer Filmhaltenden Institution möchte ich Synergie-Effekte nutzen  (User Story ID 27),implemented_candidate,Product/domain decision,true,implemented_but_untested,4,.\i18n\locales\de.ts; .\scripts\github-project-classify.mjs,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; synergie-effekte; nutzen; filmidentifikatorenansicht redaktionssystem,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/9
AV-EFI/AVefi-Issues#10,Filmrecherche: Als Benutzer*in möchte ich Empfehlungen basierend auf den Sehgewohnheiten und Vorlieben von Benutzer*innen mit ähnlichem Geschmack erhalten  (User Story ID 30),implemented_candidate,Unassigned triage,true,implemented_but_untested,12,.\i18n\locales\de.ts; .\models\interfaces\schema\locale_messages.json; .\models\interfaces\schema\vocab.yaml; .\server\assets\vocab\locale_messages.json,empfehlungen; basierend; sehgewohnheiten; vorlieben; innen; ahnlichem; geschmack; erhalten,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/10
AV-EFI/AVefi-Issues#11,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich einen oder mehrere neue Film-Metadatensätze zum Projekt hinzufügen  (User Story ID 15),implemented_candidate,Product/domain decision,true,implemented,14,.\assets\scss\main.scss; .\i18n\locales\de.ts; .\models\interfaces\schema\locale_messages.json; .\models\interfaces\schema\vocab.yaml; .\nuxt.config.ts; .\scripts\github-project-classify.mjs; .\server\assets\vocab\locale_messages.json; .\tests\unit\components\clickable-facet-value.spec.ts,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; mehrere; film-metadatensatze; hinzufugen; neue; filmidentifikatorenansicht redaktionssystem,Review evidence and acceptance criteria; candidate for keep/close decision batch.,https://github.com/AV-EFI/AVefi-Issues/issues/11
AV-EFI/AVefi-Issues#12,Filmanzeige: Als Benutzer*in möchte ich zwischen verschiedenen Ansichten der Suchergebnisse wechseln  (User Story ID 19),implemented_candidate,Frontend/UI,true,implemented_but_untested,14,.\i18n\locales\de.ts; .\models\interfaces\schema\locale_messages.json; .\models\interfaces\schema\vocab.yaml; .\server\assets\vocab\locale_messages.json,zwischen; verschiedenen; ansichten; suchergebnisse; wechseln,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/12
AV-EFI/AVefi-Issues#13,"Hilfe, Feedback & Kommunikation: Als Benutzer*in möchte ich eine einfache und benutzerfreundliche Anmeldungs- und Registrierungsoption haben  (User Story ID 36)",implemented_candidate,Frontend/UI,true,implemented_but_untested,20,.\components\micro\ContactForm.vue; .\i18n\locales\de.ts; .\i18n\locales\en.ts; .\nuxt.config.ts; .\pages\accessibility.vue,hilfe; feedback; kommunikation; einfache; benutzerfreundliche; anmeldungs-; registrierungsoption; haben; hilfe feedback kommunikation,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/13
AV-EFI/AVefi-Issues#14,"Hilfe, Feedback & Kommunikation: Als Benutzer*in möchte ich kontextabhängige Hilfe und Erklärungen erhalten  (User Story ID 37)",implemented_candidate,Frontend/UI,true,implemented_but_untested,19,.\components\micro\ContactForm.vue; .\i18n\locales\de.ts; .\i18n\locales\en.ts; .\pages\accessibility.vue; .\pages\faq.vue; .\pages\vocab.vue,hilfe; feedback; kommunikation; kontextabhangige; erklarungen; erhalten; hilfe feedback kommunikation,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/14
AV-EFI/AVefi-Issues#15,"Filmrecherche: Als Benutzer*in möchte ich Benachrichtigungen über relevante Updates oder neue Inhalte erhalten, die meinen Interessen oder früheren Suchanfragen entsprechen.  (User Story ID 31)",implemented_candidate,Frontend/UI,true,implemented_but_untested,20,.\assets\scss\main.scss; .\components\global\VocabViewer.vue; .\components\micro\ContactForm.vue; .\components\search\InstantSearchTemplateAVefi.vue; .\composables\useSearchFacetToggle.ts; .\composables\useSearchSuggestions.ts; .\i18n\locales\de.ts,benachrichtigungen; relevante; updates; inhalte; erhalten; meinen; interessen; fruheren; uber; neue; suchanfragen; entsprechen,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/15
AV-EFI/AVefi-Issues#16,Filmanzeige: Als Benutzer*in möchte ich eine Liste von zusammenhängenden Filmen erstellen  (User Story ID 14),implemented_candidate,Unassigned triage,true,implemented_but_untested,20,.\components\detail\ManifestationListComp.vue; .\components\detail\PaginationComp.vue; .\components\detail\SameAsComp.vue; .\components\global\ContactDrawer.vue; .\components\global\NavBar.vue; .\components\global\TooltipInfo.vue; .\components\input\VueSlider.vue; .\components\search\ClickableFacetValue.vue,liste; zusammenhangenden; filmen; erstellen,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/16
AV-EFI/AVefi-Issues#17,Filmrecherche: Als Benutzer*in möchte ich einen technische Übersicht über exportierbare und importierbare Formate erhalten (User Story ID 39),implemented_candidate,Backend/API/indexing,true,implemented_but_untested,8,.\components\global\PartnersCarouselComp.vue; .\i18n\locales\de.ts,technische; ubersicht; exportierbare; importierbare; formate; erhalten; uber,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/17
AV-EFI/AVefi-Issues#18,"Hilfe, Feedback & Kommunikation: Als Benutzer*in möchte ich kontextabhängiges Feedback geben  (User Story ID 49)",implemented_candidate,Frontend/UI,true,implemented_but_untested,20,.\components\micro\ContactForm.vue; .\composables\poc\usePocApi.ts; .\i18n\locales\de.ts; .\i18n\locales\en.ts; .\models\interfaces\schema\locale_messages.json; .\models\interfaces\schema\vocab.yaml; .\pages\accessibility.vue; .\pages\faq.vue,hilfe; feedback; kommunikation; kontextabhangiges; geben; hilfe feedback kommunikation,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/18
AV-EFI/AVefi-Issues#19,Filmrecherche: Als Benutzer*in möchte ich die Suchergebnisse nach meinen Bedürfnissen anpassen  (User Story ID 48),implemented_candidate,Frontend/UI,true,implemented_but_untested,20,.\composables\poc\usePocApi.ts; .\i18n\locales\de.ts; .\i18n\locales\en.ts; .\models\interfaces\detail-layout-map.ts; .\models\interfaces\schema\locale_messages.json; .\models\interfaces\schema\vocab.yaml; .\models\interfaces\search-layout-map.ts; .\pages\index.vue,suchergebnisse; meinen; bedurfnissen; anpassen; nach,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/19
AV-EFI/AVefi-Issues#20,Filmrecherche: Als Benutzer*in möchte ich möglichst passende Vorschläge erhalten (User Story ID 17),implemented_candidate,Unassigned triage,true,implemented_but_untested,6,.\i18n\locales\de.ts,moglichst; passende; vorschlage; erhalten,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/20
AV-EFI/AVefi-Issues#21,Filmidentifikatorenansicht & Redaktionssystem:: Als Redakteur*in / Admin möchte ich Zugriff auf historische Suchdaten und Nutzungsstatistiken haben  (User Story ID 33),implemented_candidate,Product/domain decision,true,implemented_but_untested,20,.\components\detail\InstitutionListComp.vue; .\components\detail\ItemListNewComp.vue; .\components\search\SearchHitsComp.vue; .\components\search\SearchListCompactComp.vue; .\components\search\SearchListViewComp.vue; .\components\views\WorkViewCompParts.vue; .\composables\useSearchSuggestions.ts; .\i18n\locales\de.ts; .\i18n\locales\en.ts; .\MATOMO_SETUP.md,filmidentifikatorenansicht; redaktionssystem; redakteur; admin; zugriff; historische; suchdaten; nutzungsstatistiken; haben; filmidentifikatorenansicht redaktionssystem,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/21
AV-EFI/AVefi-Issues#22,Filmrecherche: Als Benutzer*in möchte ich optimal bei der Suche unterstützt werden  (User Story ID 22),implemented_candidate,Frontend/UI,true,implemented_but_untested,20,.\app.vue; .\components\detail\AVefiRefinementListComp.vue; .\components\detail\GenericKVView.vue; .\components\detail\HasEventComp.vue; .\components\detail\InstitutionListComp.vue; .\components\detail\ItemListNewComp.vue; .\components\detail\KeyActionRowsComp.vue,optimal; suche; search; unterstutzt; werden,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/22
AV-EFI/AVefi-Issues#23,"Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich nachvollziehen können, wer wann welche Datensätze in das System eingegeben hat  (User Story ID 46)",implemented_candidate,Product/domain decision,true,implemented_but_untested,18,.\components\poster\AvefiPosterComp.vue; .\i18n\locales\de.ts; .\i18n\locales\en.ts; .\models\interfaces\schema\avefi_schema_type_utils.ts; .\models\interfaces\schema\avefi_schema.ts; .\models\interfaces\schema\model.yaml; .\pages\poster\avefi.vue; .\RELEASE_NOTES.md; .\scripts\generate-stakeholder-quality-reports.mjs; .\scripts\github-project-classify.mjs; .\server\assets\vocab\avefi_schema_type_utils.ts; .\server\assets\vocab\avefi_schema.ts,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; nachvollziehen; datensatze; system; eingegeben; wann; filmidentifikatorenansicht redaktionssystem,Review code evidence and add or confirm regression coverage before closing.,https://github.com/AV-EFI/AVefi-Issues/issues/23
