issueNumber,repository,title,state,projectStatus,auditBucket,auditConfidence,suggestedOwnerArea,needsHumanReview,labels,assignees,milestone,suggestedAction,auditReason,codeSearchTerms,issueUrl
43,AV-EFI/AVefi-Issues,PID-Verwaltung: Als MA einer filmhaltenden Institution möchte ich eine PID für einen Film-Metadatensatz abfragen  (User Story ID 13),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,MUSTHAVE; PID Verwaltung,steffolino; bingert; EOltmanns,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,pid-verwaltung; filmhaltenden; institution; film-metadatensatz; abfragen; musthave; verwaltung,https://github.com/AV-EFI/AVefi-Issues/issues/43
44,AV-EFI/AVefi-Issues,"Filmrecherche: Als Benutzer*in möchte ich schnell einsehen können, von welcher Institution/welchen Institutionen ein Metadatensatz stammt (User Story ID 41)",CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,SHOULDHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; schnell; einsehen; können; welcher; institution; welchen; institutionen; metadatensatz,https://github.com/AV-EFI/AVefi-Issues/issues/44
45,AV-EFI/AVefi-Issues,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich Duplikate von Filmen ausfindig machen können  (User Story ID 25),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,SHOULDHAVE; Filmidentifikatorenansicht & Redaktionssystem,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; institution; duplikate; filmen; ausfindig; machen; können; shouldhave,https://github.com/AV-EFI/AVefi-Issues/issues/45
46,AV-EFI/AVefi-Issues,PID-Verwaltung: Als MA einer filmhaltenden Institution möchte ich eine PID für einen Film-Metadatensatz erstellen (registrieren)  (User Story ID 12),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,SHOULDHAVE; PID Verwaltung,steffolino; bingert; EOltmanns,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,pid-verwaltung; filmhaltenden; institution; film-metadatensatz; erstellen; registrieren; shouldhave; verwaltung,https://github.com/AV-EFI/AVefi-Issues/issues/46
210,AV-EFI/AVefi-Issues,Filmanzeige: Als Benutzer*in möchte ich Datensätze mit allen relevanten Informationen einsehen können  (User Story ID 5),CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,filmanzeige; benutzer; datensätze; allen; relevanten; informationen; einsehen; können,https://github.com/AV-EFI/AVefi-Issues/issues/210
209,AV-EFI/AVefi-Issues,Filmanzeige: Als Benutzer*in möchte ich zwischen einer Kurz- und einer Detailansicht eines Datensatzes wechseln können  (User Story ID 9),CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,UserStory; Technical-Blocker; Frontend,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmanzeige; benutzer; zwischen; kurz-; detailansicht; datensatzes; wechseln; können; userstory; technical-blocker,https://github.com/AV-EFI/AVefi-Issues/issues/209
49,AV-EFI/AVefi-Issues,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich zwei oder mehrere Datensätze (Werk-Manifestation-Item) auf ihre Ähnlichkeit prüfen  (User Story ID 24),OPEN,Highest Prio,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; SHOULDHAVE; Filmidentifikatorenansicht & Redaktionssystem,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing milestone.,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; institution; mehrere; datensätze; werk-manifestation-item; ähnlichkeit; prüfen; shouldhave,https://github.com/AV-EFI/AVefi-Issues/issues/49
50,AV-EFI/AVefi-Issues,"Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich bei widersprüchlichen Metadaten zu einem Objekt entscheiden können, welche Metadaten übernommen werden sollen  (User Story ID 40)",OPEN,Highest Prio,domain_logic_needed,medium,Product/domain decision,true,SHOULDHAVE; Filmidentifikatorenansicht & Redaktionssystem,tennismann3000; C-Stemmler,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing milestone.,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; institution; widersprüchlichen; metadaten; objekt; entscheiden; können; welche,https://github.com/AV-EFI/AVefi-Issues/issues/50
221,AV-EFI/AVefi-Issues,"Filmrecherche: Als Benutzer*in möchte ich die Möglichkeit haben, Suchergebnisse oder kuratierte Listen von Filmen in verschiedene Formate (z. B. CSV, PDF, JSON) zu exportieren  (User Story ID 34)",CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,filmrecherche; benutzer; möglichkeit; haben; suchergebnisse; kuratierte; listen; filmen; verschiedene; formate,https://github.com/AV-EFI/AVefi-Issues/issues/221
52,AV-EFI/AVefi-Issues,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich Daten übernehmen können  (User Story ID 7),OPEN,Highest Prio,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D; SHOULDHAVE; Filmidentifikatorenansicht & Redaktionssystem,EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing milestone.,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; institution; daten; übernehmen; können; shouldhave,https://github.com/AV-EFI/AVefi-Issues/issues/52
220,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich das Suchergebnis mittels Filtern verfeinern  (User Story ID 3),CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,filmrecherche; benutzer; suchergebnis; mittels; filtern; verfeinern,https://github.com/AV-EFI/AVefi-Issues/issues/220
216,AV-EFI/AVefi-Issues,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich zwei oder mehrere Datensätze (Werk-Manifestation-Item) auf ihre Ähnlichkeit prüfen  (User Story ID 24),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; institution; mehrere; datensätze; werk-manifestation-item; ähnlichkeit; prüfen,https://github.com/AV-EFI/AVefi-Issues/issues/216
7,AV-EFI/AVefi-Issues,"Hilfe, Feedback & Kommunikation: Als Benutzer*in möchte ich an Diskussionen über Film-Metadaten teilnehmen können, Rezensionen schreiben und anderen Benutzer*innen Feedback geben  (User Story ID 38)",CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,WONTHAVE; Hilfe Feedback Kommunikation,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,hilfe; feedback; kommunikation; benutzer; diskussionen; film-metadaten; teilnehmen; können; rezensionen; schreiben,https://github.com/AV-EFI/AVefi-Issues/issues/7
215,AV-EFI/AVefi-Issues,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich ein editierbares Profil haben  (User Story ID 26),OPEN,Highest Prio,domain_logic_needed,medium,Product/domain decision,true,B L O C K E D,steffolino; EOltmanns,,Assign owner area for business/domain decision before implementation.,Domain/business terminology detected. Missing milestone.,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; institution; editierbares; profil; haben,https://github.com/AV-EFI/AVefi-Issues/issues/215
9,AV-EFI/AVefi-Issues,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer Filmhaltenden Institution möchte ich Synergie-Effekte nutzen  (User Story ID 27),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,WONTHAVE; Filmidentifikatorenansicht & Redaktionssystem,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; institution; synergie-effekte; nutzen; wonthave,https://github.com/AV-EFI/AVefi-Issues/issues/9
10,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich Empfehlungen basierend auf den Sehgewohnheiten und Vorlieben von Benutzer*innen mit ähnlichem Geschmack erhalten  (User Story ID 30),CLOSED,Done,implemented_candidate,medium,Unassigned triage,true,WONTHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; empfehlungen; basierend; sehgewohnheiten; vorlieben; innen; ähnlichem; geschmack; erhalten,https://github.com/AV-EFI/AVefi-Issues/issues/10
11,AV-EFI/AVefi-Issues,Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich einen oder mehrere neue Film-Metadatensätze zum Projekt hinzufügen  (User Story ID 15),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,WONTHAVE; Filmidentifikatorenansicht & Redaktionssystem,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; institution; mehrere; film-metadatensätze; projekt; hinzufügen; wonthave,https://github.com/AV-EFI/AVefi-Issues/issues/11
12,AV-EFI/AVefi-Issues,Filmanzeige: Als Benutzer*in möchte ich zwischen verschiedenen Ansichten der Suchergebnisse wechseln  (User Story ID 19),CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,WONTHAVE; Filmanzeige,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmanzeige; benutzer; zwischen; verschiedenen; ansichten; suchergebnisse; wechseln; wonthave,https://github.com/AV-EFI/AVefi-Issues/issues/12
13,AV-EFI/AVefi-Issues,"Hilfe, Feedback & Kommunikation: Als Benutzer*in möchte ich eine einfache und benutzerfreundliche Anmeldungs- und Registrierungsoption haben  (User Story ID 36)",CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,SHOULDHAVE; Hilfe Feedback Kommunikation,steffolino; bingert,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,hilfe; feedback; kommunikation; benutzer; einfache; benutzerfreundliche; anmeldungs-; registrierungsoption; haben; shouldhave,https://github.com/AV-EFI/AVefi-Issues/issues/13
14,AV-EFI/AVefi-Issues,"Hilfe, Feedback & Kommunikation: Als Benutzer*in möchte ich kontextabhängige Hilfe und Erklärungen erhalten  (User Story ID 37)",CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,WONTHAVE; Hilfe Feedback Kommunikation,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,hilfe; feedback; kommunikation; benutzer; kontextabhängige; erklärungen; erhalten; wonthave,https://github.com/AV-EFI/AVefi-Issues/issues/14
15,AV-EFI/AVefi-Issues,"Filmrecherche: Als Benutzer*in möchte ich Benachrichtigungen über relevante Updates oder neue Inhalte erhalten, die meinen Interessen oder früheren Suchanfragen entsprechen.  (User Story ID 31)",CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,WONTHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; benachrichtigungen; relevante; updates; inhalte; erhalten; meinen; interessen; früheren,https://github.com/AV-EFI/AVefi-Issues/issues/15
16,AV-EFI/AVefi-Issues,Filmanzeige: Als Benutzer*in möchte ich eine Liste von zusammenhängenden Filmen erstellen  (User Story ID 14),CLOSED,Done,implemented_candidate,medium,Unassigned triage,true,WONTHAVE; Filmanzeige,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmanzeige; benutzer; liste; zusammenhängenden; filmen; erstellen; wonthave,https://github.com/AV-EFI/AVefi-Issues/issues/16
17,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich einen technische Übersicht über exportierbare und importierbare Formate erhalten (User Story ID 39),CLOSED,Done,implemented_candidate,medium,Backend/API/indexing,true,WONTHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; technische; übersicht; exportierbare; importierbare; formate; erhalten; wonthave,https://github.com/AV-EFI/AVefi-Issues/issues/17
18,AV-EFI/AVefi-Issues,"Hilfe, Feedback & Kommunikation: Als Benutzer*in möchte ich kontextabhängiges Feedback geben  (User Story ID 49)",CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,WONTHAVE; Hilfe Feedback Kommunikation,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,hilfe; feedback; kommunikation; benutzer; kontextabhängiges; geben; wonthave,https://github.com/AV-EFI/AVefi-Issues/issues/18
19,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich die Suchergebnisse nach meinen Bedürfnissen anpassen  (User Story ID 48),CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,WONTHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; suchergebnisse; meinen; bedürfnissen; anpassen; wonthave,https://github.com/AV-EFI/AVefi-Issues/issues/19
20,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich möglichst passende Vorschläge erhalten (User Story ID 17),CLOSED,Done,implemented_candidate,medium,Unassigned triage,true,WONTHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; möglichst; passende; vorschläge; erhalten; wonthave,https://github.com/AV-EFI/AVefi-Issues/issues/20
21,AV-EFI/AVefi-Issues,Filmidentifikatorenansicht & Redaktionssystem:: Als Redakteur*in / Admin möchte ich Zugriff auf historische Suchdaten und Nutzungsstatistiken haben  (User Story ID 33),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,WONTHAVE; Filmidentifikatorenansicht & Redaktionssystem,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmidentifikatorenansicht; redaktionssystem; redakteur; admin; zugriff; historische; suchdaten; nutzungsstatistiken; haben; wonthave,https://github.com/AV-EFI/AVefi-Issues/issues/21
22,AV-EFI/AVefi-Issues,Filmrecherche: Als Benutzer*in möchte ich optimal bei der Suche unterstützt werden  (User Story ID 22),CLOSED,Done,implemented_candidate,medium,Frontend/UI,true,WONTHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; optimal; suche; unterstützt; werden; wonthave,https://github.com/AV-EFI/AVefi-Issues/issues/22
23,AV-EFI/AVefi-Issues,"Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich nachvollziehen können, wer wann welche Datensätze in das System eingegeben hat  (User Story ID 46)",CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,COULDHAVE; Filmidentifikatorenansicht & Redaktionssystem,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; institution; nachvollziehen; können; welche; datensätze; system; eingegeben,https://github.com/AV-EFI/AVefi-Issues/issues/23
223,AV-EFI/AVefi-Issues,"Barrierefreiheit: Als Benutzer*in mit Sehbeeinträchtigung möchte ich, dass die Anwendung Barrierefreiheitsfunktionen unterstützt, wie Bildschirmlesegeräte, Tastaturnavigation und alternative Texte für Bilder, um eine inklusive Benutzererfahrung sicherzuste",CLOSED,Done,implemented_candidate,medium,Accessibility/QA,true,,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone. Missing labels.,barrierefreiheit; benutzer; sehbeeinträchtigung; anwendung; barrierefreiheitsfunktionen; unterstützt; bildschirmlesegeräte; tastaturnavigation; alternative; texte,https://github.com/AV-EFI/AVefi-Issues/issues/223
25,AV-EFI/AVefi-Issues,Filmrecherche:Als Benutzer*in möchte ich nach der filmhaltenden Institution filtern können  (User Story ID 44),CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,COULDHAVE; Filmrecherche,steffolino,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmrecherche; benutzer; filmhaltenden; institution; filtern; können; couldhave,https://github.com/AV-EFI/AVefi-Issues/issues/25
26,AV-EFI/AVefi-Issues,"Filmidentifikatorenansicht & Redaktionssystem:: Als MA einer filmhaltenden Institution möchte ich eine Nutzerverwaltung nutzen, um die Rechte der Nutzenden zu verwalten  (User Story ID 8)",CLOSED,Done,implemented_candidate,medium,Product/domain decision,true,SHOULDHAVE; Filmidentifikatorenansicht & Redaktionssystem,steffolino; bingert,,Verify whether the current codebase and tests reflect this closed/done issue.,Issue is closed or project status is Done. Missing milestone.,filmidentifikatorenansicht; redaktionssystem; filmhaltenden; institution; nutzerverwaltung; nutzen; rechte; nutzenden; verwalten; shouldhave,https://github.com/AV-EFI/AVefi-Issues/issues/26
